Geneid	HER21	HER22	HER23	NonTNBC1	NonTNBC2	NonTNBC3	Normal1	Normal2	Normal3	TNBC1	TNBC2	TNBC3
ENSG00000237402	0	0	0	2	1	1	0	0	0	1	0	1
ENSG00000237728	0	0	0	3	4	3	0	1	0	8	3	3
ENSG00000225126	0	0	0	0	1	0	2	1	1	1	2	0
ENSG00000270171	1	0	1	9	14	3	2	6	9	11	6	5
ENSG00000270035	1	0	0	4	8	9	9	12	13	4	1	3
ENSG00000269978	1	0	4	13	8	5	14	19	9	5	1	0
ENSG00000049245	662	710	731	2296	1274	878	950	1937	2453	491	540	785
ENSG00000269925	7	20	12	6	9	3	6	6	12	6	6	3
ENSG00000049246	340	155	172	361	750	696	250	407	1813	730	390	215
ENSG00000236266	2	2	3	4	8	6	4	5	11	5	4	4
ENSG00000049247	0	0	5	5	6	4	1	0	1	8	4	5
ENSG00000049249	111	75	147	143	29	50	15	81	52	123	50	93
ENSG00000270330	0	0	0	2	4	3	0	0	0	3	2	0
ENSG00000116288	649	1059	1201	3276	3578	2375	2143	2523	2279	1097	1415	1075
ENSG00000200344	2	9	0	2	3	2	1	2	4	7	4	2
ENSG00000284747	15	61	17	18	28	20	50	36	43	29	20	15
ENSG00000284716	3	3	1	3	4	2	6	8	10	1	4	0
ENSG00000116285	998	6548	1431	480	585	483	5672	27417	50896	955	1071	1305
ENSG00000238290	1	7	8	4	7	5	4	8	8	26	5	5
ENSG00000232848	1	4	1	3	5	6	2	3	1	5	3	0
ENSG00000229305	0	0	0	1	2	0	0	0	1	4	0	0
ENSG00000227634	0	2	0	1	4	3	0	0	0	7	2	3
ENSG00000200975	0	0	0	1	2	2	0	0	0	4	0	2
ENSG00000233645	1	0	0	2	2	1	0	2	0	6	3	3
ENSG00000251977	0	0	0	0	0	0	0	0	0	4	0	1
ENSG00000162426	3	6	3	11	53	19	24	60	79	23	17	16
ENSG00000252254	0	0	0	2	6	1	0	0	0	4	0	3
ENSG00000142599	926	1075	871	555	1353	1096	1393	3887	6446	446	407	289
ENSG00000232912	20	51	31	6	24	31	8	12	9	9	5	2
ENSG00000221083	1	2	1	2	6	3	1	0	0	1	0	1
ENSG00000270282	7	3	1	1	5	5	2	0	1	3	0	1
ENSG00000234619	8	29	10	3	6	6	1	2	2	5	0	3
ENSG00000224315	16	33	13	3	1	8	1	0	0	7	1	2
ENSG00000222511	0	2	1	0	2	0	0	0	0	0	0	0
ENSG00000226545	8	10	3	2	6	5	0	1	1	8	4	3
ENSG00000228423	8	10	7	5	4	14	2	0	1	5	0	7
ENSG00000229716	0	0	0	3	0	0	0	0	1	0	2	0
ENSG00000074800	3624	9310	5666	21496	4722	3815	18715	31691	30060	7784	11516	14074
ENSG00000274258	1	0	0	4	3	3	0	4	2	2	3	1
ENSG00000230679	0	2	1	2	6	0	6	0	0	1	2	1
ENSG00000201725	0	0	0	0	2	1	0	0	0	0	3	0
ENSG00000238249	17	15	35	12	7	4	12	7	17	26	6	15
ENSG00000232208	0	0	0	0	0	0	0	0	0	2	0	10
ENSG00000232663	0	0	0	0	0	1	0	0	0	1	0	1
ENSG00000131686	1	2	3	7	8	4	107	67	118	33	10	25
ENSG00000265141	0	0	0	2	1	1	0	0	0	5	0	0
ENSG00000197241	0	0	1	2	13	2	0	1	0	19	8	4
ENSG00000142583	68	104	72	148	24	31	20	66	38	45	63	169
ENSG00000252404	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000180758	238	290	275	556	491	402	176	521	681	168	154	130
ENSG00000228526	124	147	180	125	94	136	17	90	28	86	55	75
ENSG00000284357	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234546	6	12	5	18	20	18	18	13	18	11	11	7
ENSG00000049239	652	747	678	1436	1057	1140	579	1654	2396	698	869	466
ENSG00000171621	119	479	187	353	280	321	1267	3700	7372	279	702	454
ENSG00000284652	1	1	0	5	8	10	1	4	4	11	7	2
ENSG00000284693	4	3	3	15	25	19	3	13	24	29	23	16
ENSG00000252956	0	0	0	0	0	1	0	0	1	2	0	0
ENSG00000235263	0	0	0	0	1	3	0	0	1	8	2	0
ENSG00000171612	126	318	198	199	144	106	532	1147	680	173	109	171
ENSG00000231181	3	7	9	3	10	4	16	11	10	8	4	2
ENSG00000188807	51	192	83	97	179	89	156	580	829	103	53	33
ENSG00000171608	383	507	315	334	320	258	110	445	418	346	294	134
ENSG00000179840	12	17	8	4	9	6	0	1	0	7	7	6
ENSG00000233268	5	0	3	0	0	1	0	0	0	5	0	1
ENSG00000231789	22	20	4	10	3	4	35	54	32	14	18	16
ENSG00000171603	1132	1753	1442	2151	1773	1418	1409	3872	5642	841	1181	1570
ENSG00000271264	2	7	7	0	4	3	0	0	0	2	1	1
ENSG00000280113	2	1	0	6	1	5	0	0	1	8	4	2
ENSG00000178585	152	368	277	986	356	329	526	939	734	340	400	470
ENSG00000223989	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285701	7	15	9	7	12	6	1	3	0	13	11	9
ENSG00000162441	393	512	488	1093	877	796	338	690	868	373	393	487
ENSG00000228150	1	4	3	13	14	8	2	0	1	6	7	6
ENSG00000173614	62	59	90	301	155	190	69	97	121	145	122	155
ENSG00000202415	3	3	3	10	2	0	1	1	0	4	3	7
ENSG00000283611	3	10	0	7	6	5	0	0	1	9	3	3
ENSG00000265521	0	0	0	3	0	0	0	0	0	0	0	0
ENSG00000241326	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162444	22	5	9	186	101	50	284	487	821	54	13	42
ENSG00000130939	439	926	504	684	724	572	617	1128	1335	499	355	331
ENSG00000224340	2	3	0	1	2	7	0	0	1	6	1	0
ENSG00000233623	4	5	0	1	11	6	0	1	0	13	3	4
ENSG00000201746	3	1	0	0	0	0	0	0	0	0	0	0
