	PVALUE	QVALUE	PROV_PVALUE	SIFT_PVALUE
ENSG00000162975	0.9848170091216958	1.0	0.9934	0.8364
ENSG00000162989	0.9992413035210354	1.0	0.9613	1.0
ENSG00000163012	0.6068741810311378	1.0	0.5551	0.4639
ENSG00000163075	0.9881046628263128	1.0	0.9694	0.8766
ENSG00000163092	0.31459445933224783	0.9842283404375781	0.4877	0.1913
ENSG00000163093	0.6128431885408128	1.0	0.5361	0.4886
ENSG00000163098	0.037994195336796266	0.5354098070540444	0.019	0.3292
ENSG00000163110	0.15410386516208907	0.8065045322028634	0.2831	0.1255
ENSG00000163114	0.9881104571357187	1.0	0.9979	0.8516
ENSG00000163125	0.8234364583389226	1.0	0.6875	0.6809
ENSG00000163202	0.24837067508034616	0.9138443467228189	0.3883	0.1728
ENSG00000163207	0.9964296196047674	1.0	0.9613	0.9536
ENSG00000163217	0.3926747395639558	1.0	0.3947	0.3262
ENSG00000163219	0.696896640536203	1.0	0.9956	0.3324
ENSG00000163285	0.17906228175475836	0.8398708666879521	0.1034	0.4182
ENSG00000163288	0.0541173224430499	0.6082495444570459	0.0671	0.1428
ENSG00000163312	0.25847477031904587	0.9222945405129122	0.3449	0.2055
ENSG00000163319	0.530873055958661	1.0	0.302	0.6809
ENSG00000163322	0.0633300319747212	0.6251418615218051	0.1128	0.1029
ENSG00000163328	0.2663143653015654	0.9298160189402581	0.2533	0.2916
ENSG00000163346	0.2412273352478993	0.9060806158514845	0.5162	0.1249
ENSG00000163349	0.13151113479284904	0.7617070120127718	0.0428	0.6765
ENSG00000163354	0.9971930770135781	1.0	0.9646	0.96
ENSG00000163359	0.9906959751208502	1.0	0.9998	0.8669
ENSG00000163380	0.05902565268073201	0.6130502204712159	0.1186	0.0898
ENSG00000163386	0.24567318835796947	0.9118033414555009	0.1389	0.4759
ENSG00000163395	0.9098201127934984	1.0	0.9569	0.6339
ENSG00000163399	0.09466325597882863	0.7111345087625239	0.2787	0.0685
ENSG00000163406	0.9641312730810617	1.0	0.7915	0.9405
ENSG00000163424	0.498879301043898	1.0	0.4334	0.4292
